# H0	ombh2	omch2	tau	As	ns	chisq
6.740297733634326960e+01 2.220842507388374326e-02 1.197593984399968475e-01 5.788802485487695021e-02 2.110088883609260405e-09 9.682780493569804747e-01 2.578716075407291100e+03
6.740297733634326960e+01 2.220842507388374326e-02 1.197593984399968475e-01 5.788802485487695021e-02 2.110088883609260405e-09 9.682780493569804747e-01 2.578716075407291100e+03
6.740297733634326960e+01 2.220842507388374326e-02 1.197593984399968475e-01 5.788802485487695021e-02 2.110088883609260405e-09 9.682780493569804747e-01 2.578716075407291100e+03
6.740297733634326960e+01 2.220842507388374326e-02 1.197593984399968475e-01 5.788802485487695021e-02 2.110088883609260405e-09 9.682780493569804747e-01 2.578716075407291100e+03
6.858277976179977031e+01 2.227316156707295075e-02 1.168247252253363094e-01 6.726943297027802859e-02 2.137620569945830178e-09 9.764405978909039829e-01 2.578848193104155598e+03
6.858277976179977031e+01 2.227316156707295075e-02 1.168247252253363094e-01 6.726943297027802859e-02 2.137620569945830178e-09 9.764405978909039829e-01 2.578848193104155598e+03
6.858277976179977031e+01 2.227316156707295075e-02 1.168247252253363094e-01 6.726943297027802859e-02 2.137620569945830178e-09 9.764405978909039829e-01 2.578848193104155598e+03
6.858277976179977031e+01 2.227316156707295075e-02 1.168247252253363094e-01 6.726943297027802859e-02 2.137620569945830178e-09 9.764405978909039829e-01 2.578848193104155598e+03
6.790342469469338482e+01 2.233802287984737456e-02 1.190192338870090100e-01 6.918485823860144601e-02 2.154269118797832416e-09 9.735892245124140310e-01 2.579159794746252373e+03
6.790342469469338482e+01 2.233802287984737456e-02 1.190192338870090100e-01 6.918485823860144601e-02 2.154269118797832416e-09 9.735892245124140310e-01 2.579159794746252373e+03
6.790342469469338482e+01 2.233802287984737456e-02 1.190192338870090100e-01 6.918485823860144601e-02 2.154269118797832416e-09 9.735892245124140310e-01 2.579159794746252373e+03
6.659761747928588704e+01 2.206214462412091695e-02 1.213222869164389678e-01 7.982985865531815051e-02 2.213076125366110117e-09 9.670209914565964793e-01 2.579357745705190155e+03
6.659761747928588704e+01 2.206214462412091695e-02 1.213222869164389678e-01 7.982985865531815051e-02 2.213076125366110117e-09 9.670209914565964793e-01 2.579357745705190155e+03
