# H0	ombh2	omch2	tau	As	ns	chisq
6.938182702041484617e+01 2.256594224755837166e-02 1.158027912444325874e-01 5.468188798855504185e-02 2.220449552091872334e-09 9.771491220316427251e-01 5.090152510255458765e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 5.090152510255458765e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 5.090152510255458765e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 5.090152510255458765e+03
6.834476587939482783e+01 2.248801152740548953e-02 1.186413956462093883e-01 3.954666052161348588e-02 2.169330913381737801e-09 9.726352006711215248e-01 5.079110825306878723e+03
6.943743688454199514e+01 2.243370462002599458e-02 1.158084075036877325e-01 3.554322882117474935e-03 1.995981958139870165e-09 9.803889438478231577e-01 4.779128523762126861e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 4.779128523762126861e+03
7.007399799235749072e+01 2.264389169507581220e-02 1.144478217852370611e-01 -1.668049963678880018e-02 1.901683750263684861e-09 9.833157650734435373e-01 2.922028725298208883e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.922028725298208883e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.922028725298208883e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.922028725298208883e+03
6.995954769345006241e+01 2.246441106292452333e-02 1.146381968684700159e-01 -3.006763723295662050e-02 1.837912332797108091e-09 9.855908449241871372e-01 2.685934764791053567e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.685934764791053567e+03
6.827774167264287541e+01 2.225600488438249716e-02 1.186542858348555024e-01 -2.723306438355048084e-02 1.873871597878487651e-09 9.768448905588308362e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
6.827567192704685795e+01 2.236809728012311566e-02 1.175921245476100052e-01 8.704593731286890124e-02 2.225692659874995901e-09 9.732221637826420357e-01 2.625004051632553455e+03
